timestamp,temperature,humidity,pressure
1712606314421,31.55,21.01,1001.42
1712606314924,31.56,21.41,1001.39
1712606315435,31.55,21.74,1001.41
1712606315936,31.54,22.16,1001.46
1712606316437,31.54,22.88,1001.47
1712606316937,31.54,22.95,1001.47
1712606317449,31.52,22.76,1001.43
1712606317954,31.51,22.47,1001.45
1712606318456,31.51,22.32,1001.48
1712606318957,31.51,22.17,1001.48
1712606319459,31.49,21.91,1001.47
1712606319971,31.45,21.39,1001.45
1712606320473,31.48,21.06,1001.47
1712606320974,31.45,20.82,1001.45
1712606321474,31.43,20.69,1001.44
1712606321977,31.42,20.59,1001.43
1712606322488,31.42,20.48,1001.47
1712606322990,31.43,20.5,1001.45
1712606323491,31.43,20.5,1001.4
1712606323992,31.43,20.52,1001.45
1712606324494,31.44,20.57,1001.49
1712606324995,31.44,20.6,1001.46
1712606325497,31.45,20.6,1001.46
1712606325999,31.44,20.76,1001.47
1712606326499,31.45,21.03,1001.47
1712606327004,31.44,21.71,1001.44
1712606327506,31.44,22.23,1001.46
1712606328009,31.44,22.21,1001.46
1712606328513,31.43,22.27,1001.47
1712606329015,31.44,22.18,1001.47
1712606329516,31.45,21.98,1001.51
1712606330018,31.44,22.07,1001.47
1712606330521,31.44,22.34,1001.45
1712606331022,31.45,22.37,1001.47
1712606331530,31.44,22.21,1001.47
1712606332034,31.45,21.89,1001.44
1712606332541,31.44,21.85,1001.42
1712606333053,31.44,21.57,1001.46
1712606333554,31.43,21.37,1001.47
1712606334061,31.42,21.4,1001.46
1712606334570,31.42,21.37,1001.47
1712606335078,31.43,21.29,1001.47
1712606335581,31.44,21.23,1001.47
1712606336083,31.42,21.07,1001.48
1712606336583,31.42,20.9,1001.45
1712606337085,31.41,20.92,1001.44
1712606337599,31.4,20.94,1001.47
1712606338100,31.41,20.79,1001.47
1712606338602,31.39,20.88,1001.47
1712606339105,31.39,20.9,1001.46
1712606339616,31.37,20.73,1001.42
1712606340118,31.36,20.63,1001.44
1712606340619,31.37,20.59,1001.44
1712606341121,31.35,20.56,1001.44
1712606341622,31.36,20.62,1001.44
1712606342137,31.37,20.64,1001.45
1712606342638,31.36,20.62,1001.42
1712606343140,31.34,20.6,1001.45
1712606343647,31.34,20.55,1001.44
1712606344150,31.33,20.42,1001.44
1712606344654,31.33,20.27,1001.46
1712606345156,31.31,20.26,1001.43
1712606345656,31.31,20.19,1001.41
1712606346158,31.3,20.21,1001.45
1712606346662,31.3,20.16,1001.43
1712606347179,31.28,20.05,1001.46
1712606347681,31.29,20,1001.47
1712606348184,31.28,19.76,1001.46
1712606348695,31.28,19.71,1001.45
1712606349207,31.28,19.73,1001.46
1712606349708,31.28,19.69,1001.49
1712606350208,31.28,19.69,1001.44
1712606350709,31.29,19.75,1001.45
1712606351215,31.29,19.82,1001.46
1712606351715,31.3,19.87,1001.45
1712606352217,31.29,19.94,1001.42
1712606352718,31.29,20.02,1001.44
1712606353220,31.29,20.14,1001.47
1712606353721,31.28,20.28,1001.47
1712606354223,31.3,20.41,1001.41
1712606354723,31.28,20.63,1001.42
1712606355225,31.29,20.57,1001.46
1712606355747,31.3,20.5,1001.46
1712606356247,31.3,20.47,1001.46
1712606356750,31.31,20.45,1001.46
1712606357254,31.33,20.47,1001.46
1712606357757,31.34,20.54,1001.45
1712606358258,31.31,20.65,1001.48
1712606358760,31.33,20.87,1001.46
1712606359263,31.33,20.96,1001.44
1712606359765,31.34,21.02,1001.45
1712606360267,31.33,20.95,1001.47
1712606360767,31.34,20.99,1001.47
1712606361267,31.34,20.97,1001.43
1712606361768,31.33,20.99,1001.47
1712606362269,31.34,21.02,1001.47
